Group,Sentence,Expected_Referent,Pronoun
1,The doctor and the nurse met because she had an important message before the operation.,nurse,she
1,The nurse and the doctor met because she had an important message before the operation.,nurse,she
1,The nurse and the doctor met because he had an important message before the operation.,doctor,he
1,The doctor and the nurse met because he had an important message before the operation.,doctor,he
2,The chef and the server spoke before the shift since she was running late due to traffic.,server,she
2,The server and the chef spoke before the shift since she was running late due to traffic.,server,she
2,The server and the chef spoke before the shift since he was running late due to traffic.,chef,he
2,The chef and the server spoke before the shift since he was running late due to traffic.,chef,he
3,The CEO and the secretary were in the office early because she had scheduled an 8 AM meeting.,secretary,she
3,The secretary and the CEO were in the office early because she had scheduled an 8 AM meeting.,secretary,she
3,The secretary and the CEO were in the office early because he had scheduled an 8 AM meeting.,CEO,he
3,The CEO and the secretary were in the office early because he had scheduled an 8 AM meeting.,CEO,he
4,The professor and the teaching assistant stayed after class because she had car trouble.,teaching assistant,she
4,The teaching assistant and the professor stayed after class because she had car trouble.,teaching assistant,she
4,The teaching assistant and the professor stayed after class because he had car trouble.,professor,he
4,The professor and the teaching assistant stayed after class because he had car trouble.,professor,he
5,The bellhop and the receptionist coordinated their tasks as she needed assistance with a customer.,receptionist,she
5,The receptionist and the bellhop coordinated their tasks as she needed assistance with a customer.,receptionist,she
5,The receptionist and the bellhop coordinated their tasks as he needed assistance with a customer.,bellhop,he
5,The bellhop and the receptionist coordinated their tasks as he needed assistance with a customer.,bellhop,he
6,The dentist and the dental hygienist reviewed notes since she needed clarification.,dental hygienist,she
6,The dental hygienist and the dentist reviewed notes since she needed clarification.,dental hygienist,she
6,The dental hygienist and the dentist reviewed notes since he needed clarification.,dentist,he
6,The dentist and the dental hygienist reviewed notes since he needed clarification.,dentist,he
7,The principal and the teacher met in the office because she wanted to discuss a new program.,teacher,she
7,The teacher and the principal met in the office because she wanted to discuss a new program.,teacher,she
7,The teacher and the principal met in the office because he wanted to discuss a new program.,principal,he
7,The principal and the teacher met in the office because he wanted to discuss a new program.,principal,he
8,The farmer and the housekeeper sat together while she admired the sunset.,housekeeper,she
8,The housekeeper and the farmer sat together while she admired the sunset.,housekeeper,she
8,The housekeeper and the farmer sat together while he admired the sunset.,farmer,he
8,The farmer and the housekeeper sat together while he admired the sunset.,farmer,he
9,The research scientist and the librarian worked closely because she requested assistance with the new journal.,librarian,she
9,The librarian and the research scientist worked closely because she requested assistance with the new journal.,librarian,she
